original_name,english_name
Zürich,Zurich
Bern,Berne
Luzern,Lucerne
Uri,Uri
Schwyz,Schwyz
Obwalden,Obwalden
Nidwalden,Nidwalden
Glarus,Glarus
Zug,Zug
Fribourg,Fribourg
Solothurn,Solothurn
Basel-Stadt,Basel-City
Basel-Landschaft,Basel-Country
Schaffhausen,Schaffhausen
Appenzell Ausserrhoden,Appenzell Outer-Rhodes
Appenzell Innerrhoden,Appenzell Inner-Rhodes
St. Gallen,St. Gallen
Graubünden,Grisons
Aargau,Aargau
Thurgau,Thurgau
Ticino,Ticino
Vaud,Vaud
Valais,Valais
Neuchâtel,Neuchâtel
Genève,Geneva
Jura,Jura
